unique case addrs: 161
op1 @0x41862a: calls[] fields[]
op2 @0x418632: calls[41f420,4065f0] fields[]
op5 @0x418682: calls[41fe10,41f420] fields[]
op4 @0x4186f1: calls[] fields[]
op6 @0x418714: calls[41f420,41fe10] fields[]
op7 @0x418769: calls[420120,420950] fields[]
op8 @0x4187bf: calls[41f420,43ecc0,41fe10] fields[]
op9 @0x41882f: calls[43ecc0,420120,420950] fields[]
op10 @0x4188c1: calls[41f420,41fe10] fields[]
op15 @0x41892a: calls[420120,420950] fields[]
op11 @0x418994: calls[41f420,41fe10] fields[]
op16 @0x4189fd: calls[420120,420950] fields[]
op12 @0x418a67: calls[41f420,41fe10] fields[]
op17 @0x418ad1: calls[420120,420950] fields[]
op13 @0x418b3b: calls[41f420,41fe10] fields[]
op18 @0x418ba5: calls[420120,420950] fields[]
op14 @0x418c0f: calls[41f420,41fe10] fields[]
op19 @0x418c79: calls[420120,41f090,420950] fields[]
op20 @0x418d19: calls[41f420,41fe10] fields[]
op25 @0x418da4: calls[420120,420950] fields[]
op21 @0x418e3d: calls[41f420,41fe10] fields[]
op26 @0x418ec8: calls[420120,420950] fields[]
op22 @0x418f61: calls[41f420,41fe10] fields[]
op27 @0x418fed: calls[420120,420950] fields[]
op23 @0x419086: calls[41f420,41fe10] fields[]
op28 @0x419114: calls[420120,420950] fields[]
op24 @0x4191ad: calls[41f420,41fe10] fields[]
op29 @0x41923b: calls[420120,41f090,420950] fields[]
op30 @0x4192db: calls[41fe10] fields[]
op31 @0x419311: calls[41fe10] fields[]
op32 @0x419347: calls[420120,409060,420950] fields[]
op33 @0x4193af: calls[420120,408d40,420950] fields[]
op34 @0x419417: calls[420120,40c7b0,420950] fields[]
op37 @0x41952b: calls[420120,43edb0,420950] fields[]
op35 @0x419595: calls[421300] fields[]
op36 @0x4195a5: calls[4213f0] fields[]
op38 @0x4195b5: calls[420120,43edb0,408d40,420950,409060] fields[]
op39 @0x41969a: calls[420120,40b440,420950] fields[]
op40,41,42,43,44,45,46,47,48,49,50,51 @0x4197be: calls[4215f0] fields[]
op52 @0x4197e2: calls[421bd0] fields[]
op53 @0x4197f9: calls[421cb0] fields[]
op54 @0x419812: calls[41f420,4069f0] fields[]
op55 @0x419875: calls[41f420,421de0] fields[]
op56 @0x4198fa: calls[41f420,421de0] fields[]
op57 @0x419a69: calls[421e50] fields[]
op58 @0x419a8e: calls[41f420,4069f0] fields[]
op59 @0x419af1: calls[41f420,421de0] fields[]
op60 @0x419b76: calls[41f420,421de0] fields[]
op61 @0x419ce5: calls[421e50] fields[]
op62 @0x419d0a: calls[4069f0] fields[]
op63 @0x419d5e: calls[420120,42c180] fields[]
op64 @0x419df8: calls[420f40] fields[]
op65 @0x419e08: calls[420120,43edb0,4065f0] fields[]
op66 @0x419ed0: calls[41f420,420120,43edb0,4065f0,420d10] fields[]
op67 @0x419fe0: calls[422020] fields[]
op178 @0x419ff0: calls[4224a0] fields[]
op68 @0x41a000: calls[420120,44c1b0,43edb0] fields[]
op69 @0x41a0a2: calls[41f420,420120,44c1b0,43edb0,4065f0,420d10] fields[]
op70 @0x41a201: calls[420120] fields[]
op71 @0x41a264: calls[420120] fields[]
op72 @0x41a2c7: calls[41f420,4065f0,420120] fields[]
op73 @0x41a4b7: calls[41f420,4065f0,420120] fields[]
op74 @0x41a617: calls[41f420,4065f0,420120] fields[]
op75 @0x41a708: calls[420120] fields[]
op76 @0x41a824: calls[] fields[]
op77 @0x41a840: calls[420120] fields[]
op78 @0x41a8c5: calls[420120] fields[]
op79 @0x41a94a: calls[41f420] fields[]
op80 @0x41aa7e: calls[41f420] fields[]
op81 @0x41aba8: calls[41f420] fields[]
op86 @0x41acd2: calls[41f420,41fe10] fields[]
op87 @0x41ad61: calls[41f420,420120,420950] fields[]
op88 @0x41ae35: calls[41f420,421bd0] fields[]
op89 @0x41ae9b: calls[41f420] fields[]
op90 @0x41af5b: calls[41efc0,41f110,40bc40,425b70,407120,45d660] fields[]
op91 @0x41b10b: calls[41efc0,41f280,40bc40,425b70,407120,45d660] fields[]
op92 @0x41b2bb: calls[41efc0,41f110,40bc40,409080,425b70,407120,45d660] fields[]
op96,97,98,99,100,101,102,103,104 @0x41b4dc: calls[422720] fields[]
op111 @0x41b529: calls[41f420,420120] fields[]
op138 @0x41b6dd: calls[] fields[]
op105 @0x41b70f: calls[41f420,421ba0,4065f0] fields[]
op106 @0x41b7b1: calls[41f420,421ba0,406ef0,4065f0] fields[]
op107 @0x41b866: calls[] fields[]
op108 @0x41b883: calls[] fields[]
op109 @0x41b8a0: calls[409080,430e10] fields[]
op110 @0x41b8f1: calls[420120] fields[]
op114,115 @0x41b983: calls[409080,41f420,420120,430f20] fields[]
op116 @0x41bcd3: calls[41f420] fields[]
op117 @0x41bd17: calls[41f420,420120,43edb0] fields[]
op167 @0x41bdc9: calls[41f420,420120] fields[]
op118 @0x41be61: calls[41f420,420120,44c1b0] fields[]
op119 @0x41bf17: calls[41f420,420120] fields[]
op170 @0x41c062: calls[41f420] fields[]
op120 @0x41c0f9: calls[41f420] fields[]
op121 @0x41c17f: calls[41f420,4065f0] fields[]
op154 @0x41c254: calls[] fields[]
op171 @0x41c284: calls[41f420,420120] fields[]
op172 @0x41c31c: calls[41f420,420120] fields[]
op163 @0x41c402: calls[41f420] fields[]
op127 @0x41c443: calls[41f420,422c20,4230c0,422bb0,42a820,404720,422be0] fields[]
op128 @0x41c627: calls[425430] fields[]
op159 @0x41c6b7: calls[41f420] fields[]
op124 @0x41c6fb: calls[41f420,45d660] fields[]
op129 @0x41c74b: calls[] fields[]
op130 @0x41c796: calls[] fields[]
op126 @0x41c7cc: calls[41f420] fields[]
op125 @0x41c849: calls[41f420,418450] fields[]
op131 @0x41c941: calls[41f420,4230e0] fields[]
op158 @0x41c9ef: calls[41f420,4230e0,423110] fields[]
op122 @0x41cb06: calls[421280] fields[]
op123 @0x41cb16: calls[4212e0] fields[]
op132 @0x41cb26: calls[41f420,4065f0] fields[]
op133 @0x41cb70: calls[41f420] fields[]
op134 @0x41ccfc: calls[41f420,4065f0] fields[]
op135 @0x41cdf3: calls[41f420,40b8a0,40b880,418450] fields[]
op139 @0x41cf86: calls[41f420,41fe10,425430] fields[]
op140 @0x41d027: calls[40b460,420120,41f420,41fe10,425650] fields[]
op143 @0x41d183: calls[41f420] fields[]
